model	length
ATCG00500.1	489
ATCG00510.1	38
ATCG00280.1	474
ATCG00890.1	390
ATCG01250.1	390
ATCG00180.1	681
ATCG00340.1	735
ATCG00420.1	159
ATCG00600.1	38
ATCG00210.1	30
ATCG00020.1	354
ATCG01100.1	361
ATCG00660.1	118
ATCG00740.1	330
ATCG00820.1	93
ATCG00640.1	67
ATCG01020.1	53
ATCG01060.1	82
ATCG00330.1	101
ATCG00800.1	219
ATCG00710.1	74
ATCG00590.1	32
ATCG01050.1	507
ATCG00050.1	80
ATCG00520.1	185
ATCG00070.1	62
ATCG00700.1	44
ATCG00830.1	275
ATCG00480.1	499
ATCG00080.1	37
ATCG00430.1	226
ATCG00350.1	751
ATCG00570.1	40
ATCG00690.1	34
ATCG00160.1	237
ATCG01280.1	2295
ATCG00770.1	135
ATCG00670.1	197
ATCG00380.1	202
ATCG00580.1	84
ATCG00300.1	63
ATCG01000.1	344
ATCG01130.1	1787
ATCG00440.1	121
ATCG00680.1	509
ATCG00900.1	156
ATCG00040.1	527
ATCG00470.1	133
ATCG00170.1	1377
ATCG01080.1	177
ATCG00120.1	508
ATCG01110.1	394
ATCG00270.1	354
ATCG01010.1	747
ATCG01040.1	329
ATCG00550.1	41
ATCG00360.1	127
ATCG00065.1	124
ATCG00840.1	94
ATCG01070.1	102
ATCG00760.1	38
ATCG00490.1	480
ATCG00140.1	82
ATCG01270.1	78
ATCG00905.1	124
ATCG00810.1	161
ATCG00720.1	216
ATCG01230.1	124
ATCG00220.1	35
ATCG01120.1	89
ATCG01240.1	156
ATCG00870.1	78
ATCG00540.1	321
ATCG00790.1	136
ATCG00150.1	250
ATCG00130.1	185
ATCG01310.1	275
ATCG00860.1	2295
ATCG00750.1	139
ATCG00730.1	161
ATCG01300.1	94
ATCG01090.1	173
ATCG00560.1	39
ATCG00650.1	102
ATCG00190.1	1073
ATCG00780.1	123
ATCG00630.1	45
ATCG00530.1	230
AT2G40435.1	159
AT2G43120.1	322
AT2G31240.1	618
AT2G25630.1	490
AT2G35480.1	196
AT2G29730.1	468
AT2G17600.1	581
AT2G25530.1	656
AT2G27960.1	88
AT2G21390.1	1219
AT2G23210.1	288
AT2G21930.1	336
AT2G29300.2	287
AT2G29300.1	264
AT2G21640.1	105
AT2G35740.1	581
AT2G18870.1	240
AT2G37550.1	457
AT2G37550.2	457
AT2G31370.1	399
AT2G31370.2	399
AT2G31370.3	399
AT2G31370.4	399
AT2G31370.6	399
AT2G31370.5	378
AT2G15530.4	781
AT2G15530.1	705
AT2G15530.2	705
AT2G15530.3	705
AT2G26900.1	410
AT2G38310.1	208
AT2G43600.1	274
AT2G02680.1	650
AT2G20380.1	349
AT2G28410.1	116
AT2G07714.1	197
AT2G22960.1	185
AT2G19580.1	271
AT2G32710.1	290
AT2G32710.2	287
AT2G39710.1	443
AT2G05180.1	443
AT2G38230.1	310
AT2G02510.1	73
AT2G23430.1	192
AT2G41220.1	1630
AT2G19820.1	125
AT2G35920.1	996
AT2G16970.1	447
AT2G17980.1	628
AT2G04100.1	484
AT2G46620.1	492
AT2G43750.1	393
AT2G43750.2	393
AT2G19690.2	149
AT2G19690.1	148
AT2G24490.1	280
AT2G24490.2	280
AT2G20790.1	614
AT2G20790.2	476
AT2G20790.3	428
AT2G18328.1	78
AT2G15080.1	984
AT2G15080.2	984
AT2G40802.1	34
AT2G45695.1	102
AT2G33130.1	104
AT2G27920.1	462
AT2G27920.3	395
AT2G27920.2	390
AT2G42700.2	868
AT2G42700.1	839
AT2G37678.1	203
AT2G45240.1	399
AT2G38544.1	47
AT2G32350.1	243
AT2G15280.1	202
AT2G15280.2	163
AT2G31920.1	586
AT2G05520.1	146
AT2G05520.2	139
AT2G05520.3	126
AT2G05520.4	125
AT2G05520.6	118
AT2G05520.5	112
AT2G39100.1	297
AT2G36540.1	250
AT2G41420.1	99
AT2G46225.2	330
AT2G46225.1	299
AT2G46225.3	287
AT2G31780.1	444
AT2G34430.1	267
AT2G04220.1	308
AT2G27700.2	481
AT2G27700.1	480
AT2G40210.1	372
AT2G42060.1	269
AT2G42780.1	294
AT2G42780.2	254
AT2G35155.1	580
AT2G22320.1	112
AT2G07702.1	153
AT2G41380.1	270
AT2G45950.2	353
AT2G45950.1	343
AT2G37260.1	430
AT2G37260.2	348
AT2G01640.1	157
AT2G01640.2	157
AT2G18910.1	132
AT2G02300.1	285
AT2G11851.1	74
AT2G35635.1	155
AT2G28405.1	84
AT2G18170.1	369
AT2G37195.1	134
AT2G21380.1	1059
AT2G11405.1	116
AT2G42010.1	1084
AT2G38465.1	85
AT2G38860.2	399
AT2G38860.1	390
AT2G38860.3	280
AT2G04031.1	152
AT2G45434.1	37
AT2G43620.1	284
AT2G16130.1	512
AT2G37230.1	758
AT2G26990.1	440
AT2G47560.1	228
AT2G06960.1	149
AT2G19210.1	882
AT2G06050.1	392
AT2G06050.2	392
AT2G06050.3	392
AT2G37390.1	260
AT2G37390.2	259
AT2G03840.1	279
AT2G36130.1	165
AT2G35250.1	343
AT2G19440.1	479
AT2G21210.1	99
AT2G38390.1	350
AT2G24513.1	43
AT2G37025.1	411
AT2G37025.2	411
AT2G25250.1	156
AT2G43945.1	290
AT2G16930.1	155
AT2G16930.2	155
AT2G16930.3	155
AT2G33006.1	63
AT2G02820.2	485
AT2G02820.1	456
AT2G15710.1	366
AT2G38380.1	350
AT2G43465.1	389
AT2G33520.1	98
AT2G42110.1	138
AT2G31230.1	244
AT2G38290.1	476
AT2G38290.2	360
AT2G27330.1	117
AT2G38940.1	535
AT2G17160.1	96
AT2G17305.1	272
AT2G22600.1	633
AT2G03530.1	399
AT2G03530.2	399
AT2G19330.1	381
AT2G24260.1	351
AT2G06541.1	593
AT2G06541.2	565
AT2G18350.1	263
AT2G26330.1	977
AT2G18950.1	394
AT2G14120.3	810
AT2G14120.1	781
AT2G14120.2	781
AT2G28250.1	566
AT2G28250.2	566
AT2G21910.1	511
AT2G39280.2	773
AT2G39280.1	750
AT2G40160.2	442
AT2G40160.1	428
AT2G30933.1	228
AT2G30933.2	160
AT2G37480.1	195
AT2G37480.2	194
AT2G22470.1	132
AT2G01940.3	447
AT2G01940.1	446
AT2G01940.2	357
AT2G47730.1	264
AT2G20300.1	745
AT2G02310.1	308
AT2G42990.1	351
AT2G07719.1	162
AT2G26370.1	174
AT2G22145.1	90
AT2G05786.1	45
AT2G41810.1	371
AT2G43400.1	634
AT2G19650.1	683
AT2G19310.1	163
AT2G24590.1	197
AT2G01480.1	568
AT2G35830.2	190
AT2G35830.1	185
AT2G38410.1	672
AT2G23160.1	308
AT2G28420.1	185
AT2G33540.1	1242
AT2G28355.1	79
AT2G24960.1	798
AT2G24960.2	775
AT2G04520.1	146
AT2G27980.1	1073
AT2G25610.1	179
AT2G40900.1	395
AT2G39140.1	411
AT2G46440.1	622
AT2G17630.1	423
AT2G05117.1	91
AT2G15470.1	405
AT2G47790.1	393
AT2G32210.1	72
AT2G40890.1	509
AT2G20980.1	397
AT2G19190.1	877
AT2G41835.1	280
AT2G17320.1	362
AT2G32780.1	1084
AT2G02660.1	422
AT2G39415.1	120
AT2G45130.1	246
AT2G27750.1	182
AT2G39110.1	436
AT2G15300.1	745
AT2G34390.1	289
AT2G41520.1	1109
AT2G41520.2	1078
AT2G07667.1	219
AT2G07667.2	202
AT2G24280.1	495
AT2G43610.1	282
AT2G17170.1	329
AT2G38910.1	584
AT2G44360.1	136
AT2G21237.1	167
AT2G41060.1	452
AT2G41060.2	452
AT2G36060.2	147
AT2G36060.1	146
AT2G36060.3	145
AT2G40233.1	54
AT2G07684.1	37
AT2G32950.1	676
AT2G45310.1	438
AT2G24420.1	441
AT2G24420.2	441
AT2G40950.1	722
AT2G39940.1	593
AT2G12480.2	444
AT2G12480.1	443
AT2G45910.1	835
AT2G35680.1	338
AT2G25130.1	469
AT2G46860.1	217
AT2G36325.1	357
AT2G37330.1	274
AT2G44240.1	403
AT2G40750.1	347
AT2G39920.1	284
AT2G39920.3	284
AT2G39920.2	283
AT2G22680.1	684
AT2G40330.1	216
AT2G17470.1	539
AT2G19990.1	177
AT2G07722.1	140
AT2G02540.1	311
AT2G05100.1	266
AT2G35720.1	539
AT2G03720.1	166
AT2G28960.1	881
AT2G31980.1	148
AT2G47810.1	161
AT2G04842.1	651
AT2G24390.1	153
AT2G24390.2	151
AT2G24390.3	149
AT2G16270.1	760
AT2G48100.1	345
AT2G48100.2	345
AT2G48100.3	345
AT2G48100.4	243
AT2G18750.1	623
AT2G18750.2	623
AT2G18750.3	623
AT2G03170.1	150
AT2G38480.1	189
AT2G38905.1	55
AT2G15670.1	194
AT2G20690.1	272
AT2G42440.1	245
AT2G31360.1	308
AT2G45580.1	516
AT2G40520.1	503
AT2G40520.2	503
AT2G40520.3	503
AT2G40520.4	503
AT2G37510.1	143
AT2G33435.1	980
AT2G01830.2	1081
AT2G01830.1	1058
AT2G01830.3	1058
AT2G02450.2	415
AT2G02450.1	380
AT2G02790.1	637
AT2G34520.1	165
AT2G25210.1	45
AT2G02440.1	139
AT2G22530.1	959
AT2G20835.1	69
AT2G02148.1	433
AT2G15590.2	156
AT2G15590.1	126
AT2G27430.1	439
AT2G18080.1	490
AT2G01330.1	612
AT2G01330.2	612
AT2G05970.1	378
AT2G07739.1	200
AT2G44120.2	248
AT2G44120.1	243
AT2G32360.1	176
AT2G23360.1	899
AT2G31865.2	533
AT2G31865.1	523
AT2G16710.3	144
AT2G16710.1	138
AT2G16710.2	111
AT2G20680.1	434
AT2G29080.1	810
AT2G22050.1	260
