model	cds-gc
ATCG00500.1	0.463064
ATCG00510.1	0.477064
ATCG00280.1	0.422724
ATCG00890.1	0.47382
ATCG01250.1	0.47382
ATCG00180.1	0.491168
ATCG00340.1	0.449545
ATCG00420.1	0.466102
ATCG00600.1	0.385321
ATCG00210.1	0.388235
ATCG00020.1	0.43141
ATCG01100.1	0.458256
ATCG00660.1	0.530086
ATCG00740.1	0.540102
ATCG00820.1	0.572993
ATCG00640.1	0.530612
ATCG01020.1	0.538961
ATCG01060.1	0.46473
ATCG00330.1	0.536913
ATCG00800.1	0.546012
ATCG00710.1	0.437788
ATCG00590.1	0.483516
ATCG01050.1	0.439314
ATCG00050.1	0.506383
ATCG00520.1	0.407273
ATCG00070.1	0.430939
ATCG00700.1	0.519685
ATCG00830.1	0.519512
ATCG00480.1	0.495308
ATCG00080.1	0.462264
ATCG00430.1	0.497771
ATCG00350.1	0.45863
ATCG00570.1	0.469565
ATCG00690.1	0.474227
ATCG00160.1	0.490085
ATCG01280.1	0.49375
ATCG00770.1	0.55
ATCG00670.1	0.494881
ATCG00380.1	0.520799
ATCG00580.1	0.465587
ATCG00300.1	0.380435
ATCG01000.1	0.488802
ATCG01130.1	0.541449
ATCG00440.1	0.365922
ATCG00680.1	0.416557
ATCG00900.1	0.548596
ATCG00040.1	0.470178
ATCG00470.1	0.515228
ATCG00170.1	0.500242
ATCG01080.1	0.420152
ATCG00120.1	0.502962
ATCG01110.1	0.472387
ATCG00270.1	0.418165
ATCG01010.1	0.444097
ATCG01040.1	0.440937
ATCG00550.1	0.355932
ATCG00360.1	0.510638
ATCG00065.1	0.623853
ATCG00840.1	0.527076
ATCG01070.1	0.458472
ATCG00760.1	0.550459
ATCG00490.1	0.479443
ATCG00140.1	0.385892
ATCG01270.1	0.58952
ATCG00905.1	0.525692
ATCG00810.1	0.543933
ATCG00720.1	0.426128
ATCG01230.1	0.525692
ATCG00220.1	0.48
ATCG01120.1	0.538168
ATCG01240.1	0.548596
ATCG00870.1	0.58952
ATCG00540.1	0.487474
ATCG00790.1	0.531017
ATCG00150.1	0.465772
ATCG00130.1	0.509091
ATCG01310.1	0.519512
ATCG00860.1	0.49375
ATCG00750.1	0.509709
ATCG00730.1	0.464435
ATCG01300.1	0.527076
ATCG01090.1	0.476654
ATCG00560.1	0.473214
ATCG00650.1	0.531561
ATCG00190.1	0.482887
ATCG00780.1	0.521978
ATCG00630.1	0.461538
ATCG00530.1	0.478832
AT2G40435.1	0.529661
AT2G43120.1	0.503642
AT2G31240.1	0.458626
AT2G25630.1	0.496928
AT2G35480.1	0.507719
AT2G29730.1	0.451036
AT2G17600.1	0.497123
AT2G25530.1	0.485991
AT2G27960.1	0.544402
AT2G21390.1	0.478916
AT2G23210.1	0.508731
AT2G21930.1	0.472582
AT2G29300.2	0.48014
AT2G29300.1	0.485388
AT2G21640.1	0.570968
AT2G35740.1	0.478711
AT2G18870.1	0.486713
AT2G37550.1	0.466325
AT2G37550.2	0.466325
AT2G31370.1	0.544463
AT2G31370.2	0.544463
AT2G31370.3	0.544463
AT2G31370.4	0.544463
AT2G31370.6	0.544463
AT2G31370.5	0.534101
AT2G15530.4	0.493157
AT2G15530.1	0.493365
AT2G15530.2	0.493365
AT2G15530.3	0.493365
AT2G26900.1	0.456327
AT2G38310.1	0.520194
AT2G43600.1	0.488372
AT2G02680.1	0.517224
AT2G20380.1	0.475048
AT2G28410.1	0.51895
AT2G07714.1	0.491468
AT2G22960.1	0.501818
AT2G19580.1	0.488861
AT2G32710.1	0.519075
AT2G32710.2	0.517523
AT2G39710.1	0.488671
AT2G05180.1	0.504532
AT2G38230.1	0.425946
AT2G02510.1	0.523364
AT2G23430.1	0.474606
AT2G41220.1	0.469601
AT2G19820.1	0.554054
AT2G35920.1	0.478713
AT2G16970.1	0.456587
AT2G17980.1	0.486429
AT2G04100.1	0.438148
AT2G46620.1	0.471788
AT2G43750.1	0.474446
AT2G43750.2	0.474446
AT2G19690.2	0.457014
AT2G19690.1	0.457859
AT2G24490.1	0.51497
AT2G24490.2	0.51497
AT2G20790.1	0.476864
AT2G20790.2	0.470836
AT2G20790.3	0.462862
AT2G18328.1	0.537118
AT2G15080.1	0.503902
AT2G15080.2	0.503902
AT2G40802.1	0.43299
AT2G45695.1	0.425249
AT2G33130.1	0.514658
AT2G27920.1	0.491673
AT2G27920.3	0.487288
AT2G27920.2	0.488412
AT2G42700.2	0.474028
AT2G42700.1	0.475318
AT2G37678.1	0.513245
AT2G45240.1	0.493289
AT2G38544.1	0.441176
AT2G32350.1	0.512431
AT2G15280.1	0.457571
AT2G15280.2	0.479339
AT2G31920.1	0.510553
AT2G05520.1	0.466513
AT2G05520.2	0.466019
AT2G05520.3	0.47185
AT2G05520.4	0.462162
AT2G05520.6	0.461318
AT2G05520.5	0.468278
AT2G39100.1	0.476298
AT2G36540.1	0.480537
AT2G41420.1	0.55137
AT2G46225.2	0.536041
AT2G46225.1	0.54148
AT2G46225.3	0.540888
AT2G31780.1	0.470987
AT2G34430.1	0.48995
AT2G04220.1	0.459195
AT2G27700.2	0.470793
AT2G27700.1	0.470383
AT2G40210.1	0.549055
AT2G42060.1	0.476309
AT2G42780.1	0.531357
AT2G42780.2	0.527081
AT2G35155.1	0.504899
AT2G22320.1	0.441088
AT2G07702.1	0.515419
AT2G41380.1	0.506832
AT2G45950.2	0.516129
AT2G45950.1	0.526367
AT2G37260.1	0.530739
AT2G37260.2	0.538017
AT2G01640.1	0.560086
AT2G01640.2	0.560086
AT2G18910.1	0.519182
AT2G02300.1	0.465882
AT2G11851.1	0.451613
AT2G35635.1	0.547826
AT2G28405.1	0.453441
AT2G18170.1	0.470962
AT2G37195.1	0.493703
AT2G21380.1	0.518916
AT2G11405.1	0.341108
AT2G42010.1	0.503542
AT2G38465.1	0.552
AT2G38860.2	0.432886
AT2G38860.1	0.430901
AT2G38860.3	0.452695
AT2G04031.1	0.507761
AT2G45434.1	0.5
AT2G43620.1	0.507674
AT2G16130.1	0.460483
AT2G37230.1	0.478184
AT2G26990.1	0.518631
AT2G47560.1	0.503682
AT2G06960.1	0.493213
AT2G19210.1	0.49148
AT2G06050.1	0.467122
AT2G06050.2	0.467122
AT2G06050.3	0.467122
AT2G37390.1	0.534194
AT2G37390.2	0.533679
AT2G03840.1	0.483173
AT2G36130.1	0.510204
AT2G35250.1	0.483398
AT2G19440.1	0.480447
AT2G21210.1	0.527397
AT2G38390.1	0.495694
AT2G24513.1	0.491935
AT2G37025.1	0.507329
AT2G37025.2	0.507329
AT2G25250.1	0.587473
AT2G43945.1	0.522543
AT2G16930.1	0.480435
AT2G16930.2	0.480435
AT2G16930.3	0.480435
AT2G33006.1	0.538043
AT2G02820.2	0.522069
AT2G02820.1	0.520176
AT2G15710.1	0.475755
AT2G38380.1	0.477512
AT2G43465.1	0.457831
AT2G33520.1	0.515571
AT2G42110.1	0.545232
AT2G31230.1	0.477304
AT2G38290.1	0.440618
AT2G38290.2	0.435349
AT2G27330.1	0.560694
AT2G38940.1	0.466875
AT2G17160.1	0.586572
AT2G17305.1	0.474723
AT2G22600.1	0.468321
AT2G03530.1	0.475671
AT2G03530.2	0.475671
AT2G19330.1	0.543937
AT2G24260.1	0.535305
AT2G06541.1	0.445885
AT2G06541.2	0.444379
AT2G18350.1	0.501276
AT2G26330.1	0.496241
AT2G18950.1	0.428207
AT2G14120.3	0.493196
AT2G14120.1	0.498717
AT2G14120.2	0.498717
AT2G28250.1	0.499705
AT2G28250.2	0.499705
AT2G21910.1	0.487565
AT2G39280.2	0.483578
AT2G39280.1	0.485969
AT2G40160.2	0.560939
AT2G40160.1	0.562158
AT2G30933.1	0.546392
AT2G30933.2	0.56
AT2G37480.1	0.531034
AT2G37480.2	0.530329
AT2G22470.1	0.549872
AT2G01940.3	0.560629
AT2G01940.1	0.563391
AT2G01940.2	0.56379
AT2G47730.1	0.531131
AT2G20300.1	0.487444
AT2G02310.1	0.464635
AT2G42990.1	0.489504
AT2G07719.1	0.444906
AT2G26370.1	0.510638
AT2G22145.1	0.49434
AT2G05786.1	0.469231
AT2G41810.1	0.481047
AT2G43400.1	0.488139
AT2G19650.1	0.509295
AT2G19310.1	0.508264
AT2G24590.1	0.406143
AT2G01480.1	0.516775
AT2G35830.2	0.486726
AT2G35830.1	0.487273
AT2G38410.1	0.523123
AT2G23160.1	0.448313
AT2G28420.1	0.514545
AT2G33540.1	0.49261
AT2G28355.1	0.487069
AT2G24960.1	0.475513
AT2G24960.2	0.476724
AT2G04520.1	0.457275
AT2G27980.1	0.455196
AT2G25610.1	0.428571
AT2G40900.1	0.469492
AT2G39140.1	0.532573
AT2G46440.1	0.471252
AT2G17630.1	0.462816
AT2G05117.1	0.473881
AT2G15470.1	0.530579
AT2G47790.1	0.465077
AT2G32210.1	0.526066
AT2G40890.1	0.495401
AT2G20980.1	0.540472
AT2G19190.1	0.50495
AT2G41835.1	0.541317
AT2G17320.1	0.47271
AT2G32780.1	0.4749
AT2G02660.1	0.482157
AT2G39415.1	0.557746
AT2G45130.1	0.488404
AT2G27750.1	0.500924
AT2G39110.1	0.507291
AT2G15300.1	0.534529
AT2G34390.1	0.487239
AT2G41520.1	0.509332
AT2G41520.2	0.509755
AT2G07667.1	0.472393
AT2G07667.2	0.472546
AT2G24280.1	0.501351
AT2G43610.1	0.505351
AT2G17170.1	0.498982
AT2G38910.1	0.497424
AT2G44360.1	0.508685
AT2G21237.1	0.485887
AT2G41060.1	0.484826
AT2G41060.2	0.484826
AT2G36060.2	0.46789
AT2G36060.1	0.468822
AT2G36060.3	0.472093
AT2G40233.1	0.503185
AT2G07684.1	0.528302
AT2G32950.1	0.499259
AT2G45310.1	0.533231
AT2G24420.1	0.542489
AT2G24420.2	0.542489
AT2G40950.1	0.490514
AT2G39940.1	0.476888
AT2G12480.2	0.481537
AT2G12480.1	0.481873
AT2G45910.1	0.5032
AT2G35680.1	0.437066
AT2G25130.1	0.490728
AT2G46860.1	0.535604
AT2G36325.1	0.493433
AT2G37330.1	0.47246
AT2G44240.1	0.511628
AT2G40750.1	0.516409
AT2G39920.1	0.508855
AT2G39920.3	0.508855
AT2G39920.2	0.508294
AT2G22680.1	0.499756
AT2G40330.1	0.505443
AT2G17470.1	0.485112
AT2G19990.1	0.477186
AT2G07722.1	0.554217
AT2G02540.1	0.559267
AT2G05100.1	0.495586
AT2G35720.1	0.495658
AT2G03720.1	0.501014
AT2G28960.1	0.500758
AT2G31980.1	0.501139
AT2G47810.1	0.552301
AT2G04842.1	0.48614
AT2G24390.1	0.495595
AT2G24390.2	0.493304
AT2G24390.3	0.5
AT2G16270.1	0.503297
AT2G48100.1	0.496117
AT2G48100.2	0.496117
AT2G48100.3	0.496117
AT2G48100.4	0.482044
AT2G18750.1	0.474785
AT2G18750.2	0.474785
AT2G18750.3	0.474785
AT2G03170.1	0.530337
AT2G38480.1	0.485765
AT2G38905.1	0.3875
AT2G15670.1	0.495667
AT2G20690.1	0.44143
AT2G42440.1	0.543836
AT2G31360.1	0.426551
AT2G45580.1	0.506157
AT2G40520.1	0.489362
AT2G40520.2	0.489362
AT2G40520.3	0.489362
AT2G40520.4	0.489362
AT2G37510.1	0.492925
AT2G33435.1	0.52402
AT2G01830.2	0.483632
AT2G01830.1	0.482487
AT2G01830.3	0.482487
AT2G02450.2	0.587903
AT2G02450.1	0.585022
AT2G02790.1	0.528332
AT2G34520.1	0.497959
AT2G25210.1	0.561538
AT2G02440.1	0.473301
AT2G22530.1	0.464136
AT2G20835.1	0.480198
AT2G02148.1	0.504637
AT2G15590.2	0.531317
AT2G15590.1	0.549598
AT2G27430.1	0.503049
AT2G18080.1	0.488737
AT2G01330.1	0.480066
AT2G01330.2	0.480066
AT2G05970.1	0.488043
AT2G07739.1	0.453782
AT2G44120.2	0.508796
